,precision,recall,f1-score,support
anger,0.9644670050761421,0.49868766404199477,0.657439446366782,381.0
disgust,0.6162790697674418,0.8324607329842932,0.7082405345211582,382.0
fear,0.6135371179039302,0.7356020942408377,0.6690476190476191,382.0
happy,0.7231182795698925,0.7060367454068242,0.7144754316069057,381.0
neutral,0.8233333333333334,0.7576687116564417,0.7891373801916933,326.0
sad,0.782051282051282,0.800524934383202,0.7911802853437094,381.0
accuracy,0.7210031347962382,0.7210031347962382,0.7210031347962382,0.7210031347962382
macro avg,0.7537976812836704,0.7218301471189322,0.7215867828463113,2233.0
weighted avg,0.7519605831924803,0.7210031347962382,0.7198934696953396,2233.0
