,African American,Asian,Caucasian,Unknown
accuracy,0.7985212569316081,0.7831325301204819,0.8004005340453939,0.9642857142857143
f1_score,0.8000560811683631,0.7839878296148574,0.8013677173613203,0.9642857142857143
