,precision,recall,f1-score,support
anger,0.8955613577023499,0.8727735368956743,0.884020618556701,393.0
disgust,0.8116710875331565,0.7611940298507462,0.7856225930680361,402.0
fear,0.7344632768361582,0.7222222222222222,0.7282913165266106,360.0
happy,0.8756906077348067,0.8408488063660478,0.8579161028416779,377.0
neutral,0.8304093567251462,0.8502994011976048,0.8402366863905326,334.0
sad,0.6698795180722892,0.7574931880108992,0.7109974424552429,367.0
accuracy,0.8007165248544559,0.8007165248544559,0.8007165248544559,0.8007165248544559
macro avg,0.8029458674339844,0.8008051974238658,0.8011807933064669,2233.0
weighted avg,0.8042955834398211,0.8007165248544559,0.8018068718596231,2233.0
